-0.418 0.285 -1.288 -0.273 -0.144 0.414 -0.120 0.140 -0.983 -0.667 -1.459 0.441 -1.076
-0.415 -0.488 -0.593 -0.273 -0.740 0.194 0.367 0.557 -0.868 -0.987 -0.303 0.441 -0.492
-0.415 -0.488 -0.593 -0.273 -0.740 1.283 -0.266 0.557 -0.868 -0.987 -0.303 0.396 -1.209
-0.415 -0.488 -1.307 -0.273 -0.835 1.016 -0.810 1.078 -0.753 -1.106 0.113 0.416 -1.362
-0.410 -0.488 -1.307 -0.273 -0.835 1.229 -0.511 1.078 -0.753 -1.106 0.113 0.441 -1.027
-0.415 -0.488 -1.307 -0.273 -0.835 0.207 -0.351 1.078 -0.753 -1.106 0.113 0.411 -1.043
-0.408 0.049 -0.477 -0.273 -0.265 -0.388 -0.070 0.839 -0.523 -0.578 -1.505 0.427 -0.031
-0.402 0.049 -0.477 -0.273 -0.265 -0.160 0.979 1.025 -0.523 -0.578 -1.505 0.441 0.911
-0.394 0.049 -0.477 -0.273 -0.265 -0.931 1.117 1.087 -0.523 -0.578 -1.505 0.328 2.422
-0.399 0.049 -0.477 -0.273 -0.265 -0.400 0.616 1.330 -0.523 -0.578 -1.505 0.329 0.623
-0.392 0.049 -0.477 -0.273 -0.265 0.132 0.915 1.213 -0.523 -0.578 -1.505 0.393 1.093
-0.405 0.049 -0.477 -0.273 -0.265 -0.393 0.509 1.156 -0.523 -0.578 -1.505 0.441 0.086
-0.408 0.049 -0.477 -0.273 -0.265 -0.564 -1.052 0.787 -0.523 -0.578 -1.505 0.371 0.429
-0.345 -0.488 -0.437 -0.273 -0.144 -0.478 -0.241 0.434 -0.638 -0.601 1.176 0.441 -0.616
-0.344 -0.488 -0.437 -0.273 -0.144 -0.269 0.566 0.317 -0.638 -0.601 1.176 0.256 -0.335
-0.345 -0.488 -0.437 -0.273 -0.144 -0.642 -0.429 0.334 -0.638 -0.601 1.176 0.427 -0.586
-0.296 -0.488 -0.437 -0.273 -0.144 -0.498 -1.397 0.334 -0.638 -0.601 1.176 0.331 -0.851
-0.327 -0.488 -0.437 -0.273 -0.144 -0.420 0.467 0.220 -0.638 -0.601 1.176 0.330 0.283
-0.325 -0.488 -0.437 -0.273 -0.144 -1.181 -1.137 0.001 -0.638 -0.601 1.176 -0.742 -0.135
-0.334 -0.488 -0.437 -0.273 -0.144 -0.794 0.033 0.001 -0.638 -0.601 1.176 0.376 -0.192
-0.273 -0.488 -0.437 -0.273 -0.144 -1.018 1.050 0.001 -0.638 -0.601 1.176 0.218 1.173
-0.319 -0.488 -0.437 -0.273 -0.144 -0.455 0.733 0.103 -0.638 -0.601 1.176 0.393 0.165
-0.275 -0.488 -0.437 -0.273 -0.144 -0.203 0.822 0.086 -0.638 -0.601 1.176 0.441 0.850
-0.303 -0.488 -0.437 -0.273 -0.144 -0.672 1.117 0.143 -0.638 -0.601 1.176 0.415 1.013
-0.331 -0.488 -0.437 -0.273 -0.144 -0.514 0.908 0.287 -0.638 -0.601 1.176 0.413 0.511
-0.321 -0.488 -0.437 -0.273 -0.144 -0.977 0.609 0.314 -0.638 -0.601 1.176 -0.584 0.541
-0.340 -0.488 -0.437 -0.273 -0.144 -0.672 0.773 0.422 -0.638 -0.601 1.176 0.222 0.302
-0.307 -0.488 -0.437 -0.273 -0.144 -0.339 0.719 0.313 -0.638 -0.601 1.176 -0.551 0.649
-0.328 -0.488 -0.437 -0.273 -0.144 0.300 0.918 0.314 -0.638 -0.601 1.176 0.343 0.021
-0.302 -0.488 -0.437 -0.273 -0.144 0.555 0.666 0.211 -0.638 -0.601 1.176 0.258 -0.094
-0.287 -0.488 -0.437 -0.273 -0.144 -0.814 0.908 0.208 -0.638 -0.601 1.176 0.038 1.394
