-0.901 1.032 -1.341 -1.313
-1.143 -0.125 -1.341 -1.313
-1.385 0.338 -1.398 -1.313
-1.507 0.106 -1.284 -1.313
-1.022 1.263 -1.341 -1.313
-0.537 1.958 -1.171 -1.050
-1.507 0.801 -1.341 -1.182
-1.022 0.801 -1.284 -1.313
-1.749 -0.356 -1.341 -1.313
-1.143 0.106 -1.284 -1.444
-0.537 1.495 -1.284 -1.313
-1.264 0.801 -1.228 -1.313
-1.264 -0.125 -1.341 -1.444
-1.870 -0.125 -1.512 -1.444
-0.053 2.189 -1.455 -1.313
-0.174 3.115 -1.284 -1.050
-0.537 1.958 -1.398 -1.050
-0.901 1.032 -1.341 -1.182
-0.174 1.726 -1.171 -1.182
-0.901 1.726 -1.284 -1.182
-0.537 0.801 -1.171 -1.313
-0.901 1.495 -1.284 -1.050
-1.507 1.263 -1.569 -1.313
-0.901 0.569 -1.171 -0.919
-1.264 0.801 -1.057 -1.313
-1.022 -0.125 -1.228 -1.313
-1.022 0.801 -1.228 -1.050
-0.780 1.032 -1.284 -1.313
-0.780 0.801 -1.341 -1.313
-1.385 0.338 -1.228 -1.313
-1.264 0.106 -1.228 -1.313
-0.537 0.801 -1.284 -1.050
-0.780 2.420 -1.284 -1.444
-0.416 2.652 -1.341 -1.313
-1.143 0.106 -1.284 -1.444
-1.022 0.338 -1.455 -1.313
-0.416 1.032 -1.398 -1.313
-1.143 0.106 -1.284 -1.444
-1.749 -0.125 -1.398 -1.313
-0.901 0.801 -1.284 -1.313
-1.022 1.032 -1.398 -1.182
-1.628 -1.745 -1.398 -1.182
-1.749 0.338 -1.398 -1.313
-1.022 1.032 -1.228 -0.787
-0.901 1.726 -1.057 -1.050
-1.264 -0.125 -1.341 -1.182
-0.901 1.726 -1.228 -1.313
-1.507 0.338 -1.341 -1.313
-0.658 1.495 -1.284 -1.313
-1.022 0.569 -1.341 -1.313
1.402 0.338 0.535 0.265
0.675 0.338 0.422 0.396
1.280 0.106 0.649 0.396
-0.416 -1.745 0.137 0.133
0.796 -0.588 0.478 0.396
-0.174 -0.588 0.422 0.133
0.553 0.569 0.535 0.528
-1.143 -1.513 -0.261 -0.261
0.917 -0.356 0.478 0.133
-0.780 -0.819 0.080 0.265
-1.022 -2.439 -0.147 -0.261
0.069 -0.125 0.251 0.396
0.190 -1.976 0.137 -0.261
0.311 -0.356 0.535 0.265
-0.295 -0.356 -0.090 0.133
1.038 0.106 0.365 0.265
-0.295 -0.125 0.422 0.396
-0.053 -0.819 0.194 -0.261
0.432 -1.976 0.422 0.396
-0.295 -1.282 0.080 -0.130
0.069 0.338 0.592 0.791
0.311 -0.588 0.137 0.133
0.553 -1.282 0.649 0.396
0.311 -0.588 0.535 0.002
0.675 -0.356 0.308 0.133
0.917 -0.125 0.365 0.265
1.159 -0.588 0.592 0.265
1.038 -0.125 0.706 0.659
0.190 -0.356 0.422 0.396
-0.174 -1.051 -0.147 -0.261
-0.416 -1.513 0.024 -0.130
-0.416 -1.513 -0.033 -0.261
-0.053 -0.819 0.080 0.002
0.190 -0.819 0.763 0.528
-0.537 -0.125 0.422 0.396
0.190 0.801 0.422 0.528
1.038 0.106 0.535 0.396
0.553 -1.745 0.365 0.133
-0.295 -0.125 0.194 0.133
-0.416 -1.282 0.137 0.133
-0.416 -1.051 0.365 0.002
0.311 -0.125 0.478 0.265
-0.053 -1.051 0.137 0.002
-1.022 -1.745 -0.261 -0.261
-0.295 -0.819 0.251 0.133
-0.174 -0.125 0.251 0.002
-0.174 -0.356 0.251 0.133
0.432 -0.356 0.308 0.133
-0.901 -1.282 -0.431 -0.130
-0.174 -0.588 0.194 0.133
0.553 0.569 1.275 1.711
-0.053 -0.819 0.763 0.922
1.523 -0.125 1.218 1.185
0.553 -0.356 1.047 0.791
0.796 -0.125 1.161 1.316
2.129 -0.125 1.616 1.185
-1.143 -1.282 0.422 0.659
1.765 -0.356 1.445 0.791
1.038 -1.282 1.161 0.791
1.644 1.263 1.331 1.711
0.796 0.338 0.763 1.054
0.675 -0.819 0.876 0.922
1.159 -0.125 0.990 1.185
-0.174 -1.282 0.706 1.054
-0.053 -0.588 0.763 1.579
0.675 0.338 0.876 1.448
0.796 -0.125 0.990 0.791
2.250 1.726 1.673 1.316
2.250 -1.051 1.786 1.448
0.190 -1.976 0.706 0.396
1.280 0.338 1.104 1.448
-0.295 -0.588 0.649 1.054
2.250 -0.588 1.673 1.054
0.553 -0.819 0.649 0.791
1.038 0.569 1.104 1.185
1.644 0.338 1.275 0.791
0.432 -0.588 0.592 0.791
0.311 -0.125 0.649 0.791
0.675 -0.588 1.047 1.185
1.644 -0.125 1.161 0.528
1.886 -0.588 1.331 0.922
2.492 1.726 1.502 1.054
0.675 -0.588 1.047 1.316
0.553 -0.588 0.763 0.396
0.311 -1.051 1.047 0.265
2.250 -0.125 1.331 1.448
0.553 0.801 1.047 1.579
0.675 0.106 0.990 0.791
0.190 -0.125 0.592 0.791
1.280 0.106 0.933 1.185
1.038 0.106 1.047 1.579
1.280 0.106 0.763 1.448
-0.053 -0.819 0.763 0.922
1.159 0.338 1.218 1.448
1.038 0.569 1.104 1.711
1.038 -0.125 0.820 1.448
0.553 -1.282 0.706 0.922
0.796 -0.125 0.820 1.054
0.432 0.801 0.933 1.448
0.069 -0.125 0.763 0.791
